venda_id,cliente_id,produto_id,quantidade,valor_unitario,data_venda,arquivo_origem,valor_total
30001.0,1006,5,2,300.0,2026-04-02,vendas_favereiro.csv,600.0
30002.0,1023,2,1,120.0,2026-04-05,vendas_favereiro.csv,120.0
30004.0,1017,4,1,1200.0,2026-04-11,vendas_favereiro.csv,1200.0
30005.0,1039,3,3,250.0,2026-04-14,vendas_favereiro.csv,750.0
30007.0,1011,5,1,300.0,2026-04-20,vendas_favereiro.csv,300.0
30008.0,1028,2,2,120.0,2026-04-22,vendas_favereiro.csv,240.0
30009.0,1002,4,1,1200.0,2026-04-25,vendas_favereiro.csv,1200.0
30010.0,1034,3,2,250.0,2026-04-28,vendas_favereiro.csv,500.0
30011.0,1046,2,1,120.0,2026-04-30,vendas_favereiro.csv,120.0
40001.0,1020,1,1,3500.0,2026-05-01,vendas_maio.csv,3500.0
40003.0,1047,2,1,120.0,2026-05-07,vendas_maio.csv,120.0
40004.0,1005,5,4,300.0,2026-05-10,vendas_maio.csv,1200.0
40006.0,1016,1,1,3500.0,2026-05-16,vendas_maio.csv,3500.0
40007.0,1043,3,1,250.0,2026-05-19,vendas_maio.csv,250.0
40008.0,1024,2,3,120.0,2026-05-22,vendas_maio.csv,360.0
40009.0,1038,5,1,300.0,2026-05-25,vendas_maio.csv,300.0
40010.0,1007,4,2,1200.0,2026-05-28,vendas_maio.csv,2400.0
40011.0,1011,1,1,3500.0,2026-05-31,vendas_maio.csv,3500.0
50002.0,1010,2,2,120.0,2026-06-05,vendas_marco.csv,240.0
50003.0,1045,1,1,3500.0,2026-06-08,vendas_marco.csv,3500.0
50005.0,1018,5,3,300.0,2026-06-15,vendas_marco.csv,900.0
50006.0,1009,2,1,120.0,2026-06-18,vendas_marco.csv,120.0
50007.0,1040,1,1,3500.0,2026-06-20,vendas_marco.csv,3500.0
50008.0,1031,4,1,1200.0,2026-06-23,vendas_marco.csv,1200.0
50009.0,1022,3,2,250.0,2026-06-26,vendas_marco.csv,500.0
50010.0,1015,5,1,300.0,2026-06-28,vendas_marco.csv,300.0
50011.0,1044,2,4,120.0,2026-06-30,vendas_marco.csv,480.0
